Step,Weights (Layer 1),Gradients (Layer 1),Output,Loss
1,[ 0.8669659  -0.01021131  0.8163032   0.01710683  0.22552483],"[-0.01474498,  0.08346401 -0.14783329 -0.02716123  0.04551014]",0.57994896,0.30418918
2,[ 0.8692773  -0.03989618  0.82959145  0.01932875  0.22210893],[-0.02311431  0.29684862 -0.13288252 -0.02221917  0.03415895],0.72374094,0.25656888
3,[ 0.8725587  -0.04872571  0.84388673  0.02153953  0.21897666],[-0.03281416  0.08829531 -0.14295293 -0.02210785  0.03132265],0.8427518,0.20873508
4,[ 0.8756423  -0.06438935  0.8548361   0.02304757  0.2169649 ],[-0.03083608  0.15663643 -0.10949396 -0.01508038  0.02011762],1.0037218,0.17048794
5,[ 0.8789087  -0.07180712  0.8651452   0.02438654  0.21531618],[-0.03266374  0.07417766 -0.10309114 -0.01338968  0.01648731],1.1034161,0.14585778
6,[ 0.8814277  -0.08448908  0.872332    0.02521412  0.21429446],[-0.02518997  0.12681958 -0.07186781 -0.00827583  0.01021719],1.2305124,0.12273451
7,[ 0.8838949  -0.09051623  0.87892157  0.02598571  0.2134272 ],[-0.02467204  0.06027157 -0.06589598 -0.0077159   0.00867264],1.3063221,0.10731227
8,[ 0.8854969  -0.104607    0.8828858   0.0263829   0.21294068],[-0.01602     0.14090772 -0.03964229 -0.00397185  0.00486516],1.4049785,0.093893014
9,[ 0.887363   -0.10981941  0.887373    0.0268438   0.21242142],[-0.01866129  0.05212412 -0.04487128 -0.00460907  0.00519266],1.4479576,0.08516125
10,[ 0.88820815 -0.11698326  0.8891579   0.02695693  0.2122247 ],[-0.00845115  0.07163852 -0.01784905 -0.00113124  0.00196704],1.5314637,0.07550497
